stream,gender,log_quo,read_sk,hsc score,sports_in,sports_ac,arts_in,arts_rel,teach_sk,comm_sk,stage_in,lead,lead_m,chem_in,chem_sk,tech_in,tech_sh,tech_s_s,tech_h_s,bio_in,bio_class,bio_pr,fam_bus,fam_biz,pub_serv,maths_sk,visual,career
commerce,female,2,0,53,no,0,yes,literature,10,9,yes,7,8,yes,3,yes,hardware,0,0,no,0,0,yes,industrial,2,10,9,Teaching
arts,female,10,2,409,no,0,yes,music,0,2,no,2,7,no,0,yes,hardware,0,0,no,0,0,yes,construction,9,1,8,Business/Industrial Mngmnt.
arts,male,3,9,295,yes,3,no,0,3,10,no,4,5,yes,7,no,0,0,0,no,0,0,yes,agriculture,4,6,3,Chemical Engineering
arts,male,0,4,72,yes,3,yes,tourism,9,3,yes,10,10,yes,5,yes,software,0,0,yes,nutritionist,physician,yes,industrial,4,8,7,Marketing Management
maths,other,5,4,238,yes,1,no,0,10,10,no,8,3,no,0,no,0,0,0,no,0,0,no,0,2,9,6,Teaching
arts,female,0,9,304,yes,2,no,0,4,2,yes,6,2,yes,2,yes,software,0,0,no,0,0,no,0,7,2,6,UPSC/GPSC etc.
bio,male,7,9,411,no,0,yes,theatre,4,5,yes,5,9,no,0,no,0,0,0,yes,medical,orthopaedic,no,0,8,1,10,Theatre & Tourism
maths,other,0,6,48,yes,5,no,0,5,3,no,4,8,no,0,yes,hardware,0,0,no,0,0,no,0,9,9,6,Sports Science
commerce,male,1,7,325,yes,4,yes,literature,4,6,yes,10,2,yes,9,no,0,0,0,yes,medical,physician,no,0,7,5,8,Sports Science
bio,male,9,5,498,yes,2,yes,tourism,6,10,yes,4,6,yes,9,no,0,0,0,no,0,0,yes,enterprise,10,9,4,Chemical Engineering
bio,male,10,3,402,yes,3,no,0,6,10,yes,3,1,no,0,no,0,0,0,no,0,0,yes,industrial,4,6,1,Business/Industrial Mngmnt.
none,other,3,6,278,yes,2,yes,tourism,9,1,yes,9,2,yes,5,no,0,0,0,yes,nutritionist,pediatrician,yes,agriculture,5,7,2,Medicine and Nutrition
bio,female,6,0,496,no,0,no,0,9,2,yes,10,8,no,0,yes,software,0,0,yes,nutritionist,dental,no,0,6,7,1,Marketing Management
bio,male,6,9,429,yes,4,no,0,2,10,yes,8,10,yes,8,no,0,0,0,no,0,0,no,0,9,5,6,Sports Science
maths,other,0,1,125,yes,5,yes,tourism,6,1,yes,5,6,no,0,yes,software,0,0,no,0,0,no,0,8,1,5,Sports Science
arts,other,6,2,468,no,0,no,0,6,1,yes,3,10,yes,10,no,0,0,0,no,0,0,no,0,10,8,4,Chemical Engineering
none,female,0,3,273,yes,2,yes,tourism,9,0,yes,7,10,no,0,yes,hardware,0,0,no,0,0,yes,agriculture,1,2,8,Marketing Management
commerce,other,5,8,37,yes,3,no,0,9,5,yes,9,10,yes,8,no,0,0,0,no,0,0,yes,industrial,7,6,5,Marketing Management
bio,male,7,4,450,yes,3,no,0,10,0,no,6,4,no,0,no,0,0,0,no,0,0,yes,agriculture,4,6,7,Business/Industrial Mngmnt.
maths,other,3,4,288,no,0,no,0,10,9,yes,8,6,yes,8,yes,software,0,0,yes,nutritionist,orthopaedic,yes,construction,4,6,2,Teaching
maths,female,2,6,329,yes,1,yes,fineart,4,1,no,2,10,no,0,no,0,0,0,yes,medical,veterinary,yes,construction,6,9,7,Medicine and Nutrition
bio,other,10,4,466,no,0,no,0,10,3,yes,4,2,no,0,yes,hardware,0,0,no,0,0,yes,industrial,5,6,1,Business/Industrial Mngmnt.
bio,other,9,3,360,no,0,no,0,9,7,yes,7,2,no,0,no,0,0,0,no,0,0,yes,enterprise,4,9,8,Teaching
arts,male,0,8,228,yes,1,no,0,6,0,yes,4,5,yes,3,no,0,0,0,yes,nutritionist,pediatrician,no,0,2,2,8,Medicine and Nutrition
arts,other,9,10,453,yes,2,yes,music,6,7,yes,4,4,no,0,yes,hardware,0,0,yes,medical,physician,no,0,2,6,5,Medicine and Nutrition
arts,other,8,6,482,no,0,yes,tourism,10,8,yes,3,1,yes,1,yes,software,0,0,no,0,0,no,0,3,6,1,Teaching
arts,female,5,1,218,yes,3,yes,tourism,3,10,yes,3,2,no,0,no,0,0,0,yes,nutritionist,orthopaedic,yes,construction,2,2,7,Medicine and Nutrition
maths,female,2,4,300,no,0,yes,fineart,9,9,yes,10,8,yes,4,yes,software,0,0,yes,nutritionist,veterinary,yes,agriculture,2,7,4,Teaching
none,other,4,0,14,no,0,no,0,8,4,yes,2,2,no,0,yes,software,0,0,no,0,0,yes,industrial,4,4,5,Business/Industrial Mngmnt.
none,other,3,8,233,yes,1,yes,literature,10,4,no,7,10,no,0,no,0,0,0,yes,nutritionist,orthopaedic,yes,industrial,6,8,6,Marketing Management
maths,other,7,8,484,no,0,no,0,2,1,no,1,7,no,0,no,0,0,0,no,0,0,yes,industrial,6,3,1,Business/Industrial Mngmnt.
bio,male,7,10,495,yes,1,no,0,5,0,no,2,9,no,0,no,0,0,0,no,0,0,no,0,2,4,6,Graphics & Designing
maths,other,2,1,284,yes,5,no,0,0,8,yes,2,3,yes,7,no,0,0,0,yes,medical,dental,yes,industrial,9,7,9,Sports Science
arts,female,2,8,325,no,0,yes,music,10,3,yes,10,9,yes,1,no,0,0,0,no,0,0,no,0,8,10,7,Marketing Management
maths,male,3,8,69,yes,4,no,0,6,10,no,4,6,no,0,yes,hardware,0,0,no,0,0,no,0,5,4,9,Sports Science
commerce,male,9,7,457,yes,5,yes,tourism,9,3,no,4,9,no,0,no,0,0,0,no,0,0,yes,construction,10,1,7,Sports Science
maths,male,7,7,500,yes,3,no,0,10,4,no,10,8,yes,8,yes,software,0,0,no,0,0,yes,enterprise,6,9,9,Marketing Management
arts,male,8,8,421,yes,1,yes,music,0,8,no,9,5,yes,10,no,0,0,0,yes,nutritionist,dental,no,0,8,6,6,Chemical Engineering
arts,male,10,4,443,no,0,yes,music,0,8,yes,3,1,yes,6,no,0,0,0,no,0,0,yes,industrial,6,10,4,Business/Industrial Mngmnt.
maths,female,8,7,478,no,0,yes,literature,8,6,yes,7,8,yes,5,yes,software,0,0,no,0,0,no,0,5,10,1,Teaching
none,other,9,7,339,yes,4,no,0,10,8,yes,2,9,no,0,no,0,0,0,no,0,0,no,0,2,8,9,Sports Science
arts,male,9,4,460,yes,5,yes,music,9,5,yes,5,5,no,0,no,0,0,0,no,0,0,no,0,10,6,8,Sports Science
bio,other,2,1,178,yes,5,no,0,5,2,yes,7,1,yes,2,no,0,0,0,yes,nutritionist,physician,yes,construction,6,1,7,Sports Science
none,other,7,5,431,no,0,no,0,1,8,yes,5,4,no,0,yes,hardware,0,0,no,0,0,no,0,8,10,7,UPSC/GPSC etc.
bio,female,6,1,483,yes,4,yes,music,6,2,no,8,2,no,0,yes,hardware,0,0,no,0,0,yes,industrial,10,6,8,Sports Science
maths,other,6,10,500,no,0,no,0,8,4,no,10,3,yes,2,yes,hardware,0,0,yes,nutritionist,physician,yes,construction,7,4,7,Medicine and Nutrition
commerce,male,4,1,207,no,0,yes,fineart,5,2,yes,4,6,no,0,no,0,0,0,no,0,0,no,0,5,10,3,CA/CS/Banking
none,female,4,10,241,no,0,no,0,8,7,yes,8,5,no,0,no,0,0,0,no,0,0,no,0,8,6,4,Teaching
none,female,9,6,364,no,0,yes,fineart,10,3,yes,9,5,no,0,no,0,0,0,yes,medical,physician,no,0,4,5,3,Medicine and Nutrition
commerce,male,4,7,105,yes,2,yes,fineart,5,1,yes,5,10,no,0,no,0,0,0,yes,medical,orthopaedic,yes,industrial,8,8,5,Medicine and Nutrition
arts,other,6,9,370,yes,3,no,0,8,4,no,8,3,yes,10,yes,software,0,0,no,0,0,yes,construction,10,2,7,Chemical Engineering
none,female,5,2,192,no,0,no,0,7,10,no,9,1,no,0,no,0,0,0,yes,nutritionist,dental,no,0,8,9,3,Teaching
maths,other,3,6,300,yes,1,yes,fineart,4,7,yes,6,4,no,0,no,0,0,0,yes,nutritionist,veterinary,no,0,6,5,9,Medicine and Nutrition
none,male,5,7,159,yes,2,no,0,3,6,yes,2,4,no,0,no,0,0,0,no,0,0,yes,industrial,9,6,3,Business/Industrial Mngmnt.
arts,male,9,7,366,no,0,yes,fineart,10,2,yes,5,6,yes,6,yes,software,0,0,no,0,0,yes,industrial,4,6,2,Business/Industrial Mngmnt.
bio,male,2,7,57,yes,4,no,0,4,6,yes,5,5,yes,6,no,0,0,0,no,0,0,no,0,2,8,7,Sports Science
maths,male,2,8,174,no,0,no,0,4,4,yes,3,3,yes,6,yes,hardware,0,0,no,0,0,no,0,3,5,6,Graphics & Designing
none,other,6,9,379,yes,5,yes,music,1,9,no,1,6,no,0,yes,hardware,0,0,yes,nutritionist,veterinary,no,0,8,3,5,Sports Science
commerce,male,7,6,379,no,0,yes,theatre,7,0,yes,1,1,no,0,no,0,0,0,no,0,0,no,0,3,6,10,Theatre & Tourism
bio,other,10,3,472,yes,1,no,0,10,2,yes,4,7,yes,8,yes,software,0,0,yes,medical,physician,yes,enterprise,6,10,3,Chemical Engineering
bio,female,6,4,486,yes,5,no,0,10,2,no,2,8,yes,2,yes,hardware,0,0,no,0,0,no,0,3,3,8,Sports Science
commerce,female,5,4,131,yes,5,yes,literature,3,2,no,5,7,no,0,no,0,0,0,yes,medical,pediatrician,yes,agriculture,5,10,2,Sports Science
